,geometry,name,details,borough
1904,POINT (-73.94634943766806 40.57593377364237),Manhattan Beach Park,Out in Open,B
1905,POINT (-73.95091342985243 40.69537820515393),Marcy Playground,Near Ballfield,B
1906,POINT (-73.9077000237716 40.854981882377935),Davidson Playground,"In Playground, Under Tree",X
1907,POINT (-73.98061427203285 40.578437876797025),Neptune Playground,"Under Tree, Out in Open, In Shade, In Playground",B
1908,POINT (-73.91600159916392 40.887128316624164),Spuyten Duyvil Playground,Out in Open,X
1909,POINT (-73.88508802315293 40.729217888466266),Elmhurst Park,Out in Open,Q
1910,POINT (-74.00101137350306 40.73096210774585),West 4th Street Courts,Under Tree,M
1911,POINT (-73.93785556904041 40.78923592637877),East River Playground,Near Ballfield,M
1912,POINT (-73.78525862420153 40.673931743754046),Baisley Pond Park,Out in Open,Q
1913,POINT (-73.97747597915205 40.575884319049536),Luna Park,"In Playground, Out in Open",B
1914,POINT (-74.09753153082801 40.56412130830017),Great Kills Park,Just Outside Playground,R
1915,POINT (-73.89297815269266 40.859496597846665),Webster Playground,"In Playground, Under Tree",X
1916,POINT (-73.73543029854976 40.76187767743074),Louis Pasteur Park,In Playground,Q
1917,POINT (-73.93460394548093 40.8068530475528),Harlem River Park,Near Ballfield,M
1918,POINT (-73.95877004627857 40.80298224772206),Morningside Park,"Near Ballfield, Just Outside Playground",M
1919,POINT (-73.89745984282882 40.77255741818319),Paul Raimonda Playground,In Playground,Q
1920,POINT (-73.92605558285564 40.83906390013497),Merriam Playground,"Under Tree, In Shade, In Playground",X
1921,POINT (-73.95902678501992 40.681623997233984),Crispus Attucks Playground,"Under Tree, Just Outside Playground",B
1922,POINT (-74.07379158652388 40.63720473997979),Lyons Pool,Out in Open,R
1923,POINT (-73.9574322227746 40.799818550472295),Central Park,In Playground,M
1924,POINT (-73.95712570795394 40.76006939230742),Andrew Haswell Green Park,In Shade,M
1925,POINT (-73.87585942542448 40.679143375908076),City Line Park,"Out in Open, Near Ballfield",B
1926,POINT (-73.87615093615828 40.87873305300309),Williamsbridge Oval,Out in Open,X
1927,POINT (-73.89604046551194 40.893752994494875),Van Cortlandt Park,Out in Open,X
1928,POINT (-74.19592474033489 40.56070304037151),Freshkills Park,Near Ballfield,R
1929,POINT (-73.74213590281438 40.74319004255673),Alley Pond Park,Near Ballfield,Q
1930,POINT (-73.9682384690798 40.78221690858628),Central Park,"Under Tree, In Shade",M
1931,POINT (-73.92374240277063 40.834136928107625),Mullaly Park,Out in Open,X
1932,POINT (-74.0083630206253 40.65292702381844),Gonzalo Plasencia Playground,In Playground,B
1933,POINT (-73.86017931630923 40.76319647414588),Grand Central Parkway Extension,Under Tree,Q
1934,POINT (-74.09750010808482 40.57620045595851),Midland Field,Near Ballfield,R
1935,POINT (-73.9523815919824 40.82984029925356),Recreational Area,"In Playground, Under Tree",M
1936,POINT (-73.93341229981776 40.78806517630602),Wards Island Park,Out in Open,M
1937,POINT (-73.97851509690874 40.78194505023264),Tecumseh Playground,"Under Tree, Just Outside Playground, Near Ballfield",M
1938,POINT (-73.96884051646803 40.7710704911161),Central Park,"In Shade, Out in Open, Under Tree",M
1939,POINT (-74.01109175790126 40.60191102485859),Bath Beach Park,Near Ballfield,B
1940,POINT (-74.08507435715224 40.61166492087307),Lopez Playground,In Shade,R
1941,POINT (-73.93791162291717 40.84155780232045),Audubon Playground,"Under Tree, In Playground",M
1942,POINT (-73.82354822585661 40.782924613056984),Harvey Park,Just Outside Playground,Q
1943,POINT (-74.00515385145142 40.71283130360792),City Hall Park,Under Tree,M
1944,POINT (-73.97589661063124 40.76992140847813),Central Park,"Near Ballfield, Out in Open",M
1945,POINT (-73.9276852236828 40.68014216340407),Jackie Robinson Park,"Under Tree, In Playground",B
1946,POINT (-73.8867225910332 40.68435783603313),Highland Park,Out in Open,B
1947,POINT (-73.88260665960495 40.87796408570875),Mosholu Parkway,"Under Tree, In Shade, In Playground",X
1948,POINT (-73.84144283671229 40.74805336896555),Flushing Meadows Corona Park,Under Tree,Q
1949,POINT (-73.87950940487836 40.658848632480876),Jerome Playground,"Out in Open, Just Outside Playground",B
1950,POINT (-73.91164363705983 40.63579522143269),Bildersee Playground,"Out in Open, Just Outside Playground",B
1951,POINT (-73.73178169568445 40.731268646116604),Detective William T. Gunn Park,Under Tree,Q
1952,POINT (-73.79545986014041 40.694098462996834),Marconi Park,Near Ballfield,Q
1953,POINT (-73.90473260344167 40.81747417776118),Abigail Playground,"Out in Open, In Playground",X
1954,POINT (-73.84569117084109 40.73707269334474),Grand Central Parkway Extension,Out in Open,Q
1955,POINT (-74.13614225043787 40.55202806062851),Greencroft Playground,Out in Open,R
1956,POINT (-73.89001672544825 40.76224090979403),LaGuardia Landing Lights,Near Ballfield,Q
1957,POINT (-73.98398988339791 40.622963039427695),Gravesend Park,"Near Ballfield, In Shade",B
1958,POINT (-73.89813659565466 40.84023897348267),Crotona Park,Out in Open,X
1959,POINT (-73.7149063303084 40.74936938431852),Glen Oaks Oval,Near Ballfield,Q
1960,POINT (-73.75082549328336 40.594864340180436),Beach 17 Playground,Near Ballfield,Q
1961,POINT (-73.83987768013314 40.872850528481585),Haffen Park,"Near Ballfield, In Shade",X
1962,POINT (-73.97010984113066 40.58700336695943),West Playground,"Under Tree, In Shade, In Playground",B
1963,POINT (-73.9812003684503 40.572908720426696),Coney Island Beach & Boardwalk,Out in Open,B
1964,POINT (-73.9829054360471 40.57270486219845),Coney Island Beach & Boardwalk,Out in Open,B
1965,POINT (-74.01366358212682 40.6136400820685),Dyker Beach Park,Near Ballfield,B
1966,POINT (-73.94090718618112 40.84592958929141),J. Hood Wright Park,In Playground,M
1967,POINT (-73.92669308797224 40.84065997897491),Merriam Playground,In Shade,X
1968,POINT (-73.99959213114394 40.69050211658239),Van Voorhees Park,Near Ballfield,B
1969,POINT (-73.92018417032382 40.8721138797147),Isham Park,Near Ballfield,M
1970,POINT (-73.95504521490541 40.71100767631763),Rodney Playground North,"In Shade, In Playground",B
1971,POINT (-73.95554318236628 40.79164379641056),Central Park,"Near Ballfield, Under Tree, In Shade",M
1972,POINT (-73.8248042753129 40.763459366703806),Margaret I. Carman Green - Weeping Beech,Just Outside Playground,Q
1973,POINT (-74.00610632013635 40.7299278478087),James J Walker Park,"Under Tree, Just Outside Playground, Near Ballfield, In Shade",M
1974,POINT (-73.88241662705477 40.893400089710745),Van Cortlandt Park,Near Ballfield,X
1975,POINT (-73.90824910983324 40.67157325828247),Howard Playground,"Under Tree, In Shade",B
1976,POINT (-73.82600985761232 40.851236253271786),Pelham Bay Park,In Playground,X
1977,POINT (-73.96736352975336 40.70660437781899),Roberto Clemente Ballfield,Near Ballfield,B
1978,POINT (-73.93710991149882 40.60824389687381),Marine Park,Just Outside Playground,B
1979,POINT (-73.75790862992028 40.72149173320719),Bellaire Playground,In Playground,Q
1980,POINT (-73.73208713460298 40.73142954303237),Detective William T. Gunn Park,Under Tree,Q
1981,POINT (-73.87076528204595 40.900671587321234),Van Cortlandt Park,"Out in Open, Near Ballfield",X
1982,POINT (-73.85824056931783 40.862593816929376),Mazzei Playground,"Out in Open, Just Outside Playground",X
1983,POINT (-74.00203719957888 40.60233082512579),Benson Playground,In Shade,B
1984,POINT (-73.88195753353682 40.84366696373379),Vidalia Park,,X
1985,POINT (-73.95192276319455 40.72038675740687),McCarren Park,"Out in Open, Near Ballfield, Under Tree",B
1986,POINT (-73.82878620000497 40.82687990430339),Bruckner Playground,"Out in Open, In Playground",X
1987,POINT (-73.79121147119533 40.86924666166816),Pelham Bay Park,Under Tree,X
1988,POINT (-73.78524773946182 40.59253698167103),Arverne Playground,Under Tree,Q
1989,POINT (-73.8015926170955 40.586128592508814),Rockaway Beach Boardwalk,Out in Open,Q
1990,POINT (-73.78357852107014 40.70260956887842),Detective Keith L Williams Park,Under Tree,Q
1991,POINT (-73.89136558905106 40.705925069613066),Mafera Park,In Playground,Q
1992,POINT (-74.0169051794584 40.607124408732034),Dyker Beach Park,In Playground,B
1993,POINT (-73.94791314224202 40.83991396630199),Fort Washington Park,"In Playground, In Shade",M
1994,POINT (-73.94362861208575 40.77589414594156),Carl Schurz Park,Out in Open,M
1995,POINT (-73.94490717102173 40.80449070415498),Marcus Garvey Park,Near Ballfield,M
1996,POINT (-73.97164850850486 40.66879989517073),Prospect Park,Out in Open,B
1997,POINT (-73.9728988413099 40.680675950947276),Dean Playground,Out in Open,B
1998,POINT (-73.95493282924792 40.700676286985555),Middleton Playground,Just Outside Playground,B
1999,POINT (-73.75652580172523 40.68568764584852),Locust Manor Playground,In Playground,Q
2000,POINT (-73.91771284257594 40.70988872280672),Starr Playground,Under Tree,Q
2001,POINT (-73.90618930166747 40.74550537246275),Sohncke Square,Out in Open,Q
2002,POINT (-74.03643233631564 40.62613306152322),Russell Pedersen Playground,In Playground,B
2003,POINT (-73.9896199036449 40.73626704066879),Union Square Park,"In Playground, Under Tree",M
2004,POINT (-74.01460038143942 40.71571998971231),Battery Park City,"In Shade, Near Ballfield",M
2005,POINT (-73.97974857272591 40.71526755994791),Sidney Hillman Playground,"Near Ballfield, In Playground",M
2006,POINT (-73.99261414286042 40.58705811396034),Calvert Vaux Park,"Under Tree, In Shade, Out in Open",B
2007,POINT (-73.85609768284884 40.81415331830282),Pugsley Creek Park,In Playground,X
2008,POINT (-73.85260685168473 40.8698090372523),Eastchester Playground,In Playground,X
2009,POINT (-73.88165104052968 40.88370152868674),Van Cortlandt Park,"Under Tree, In Shade",X
2010,POINT (-73.9068621116622 40.83099175393319),Rev Lena Irons Unity Park,Out in Open,X
2011,POINT (-73.95104518642908 40.81369686800247),St. Nicholas Park,"In Playground, Under Tree",M
2012,POINT (-73.97273051906492 40.65488278481804),Prospect Park,In Playground,B
2013,POINT (-73.87299851982245 40.648982423920486),Spring Creek Park,Near Ballfield,B
2014,POINT (-73.9391456041752 40.68660180611567),Raymond Bush Playground,In Playground,B
2015,POINT (-73.71320185189641 40.741303100415465),Hillside Park,Out in Open,Q
2016,POINT (-73.91110837698395 40.7473657850963),Lawrence Virgilio Playground,Out in Open,Q
2017,POINT (-73.91085288157068 40.7110694404408),Grover Cleveland Playground,In Playground,Q
2018,POINT (-73.88929401588946 40.75421699172146),Travers Park,"Out in Open, Just Outside Playground",Q
2019,POINT (-73.72879563895773 40.725961964773454),Breininger Park,Out in Open,Q
2020,POINT (-73.9134809884812 40.81265381093669),St. Mary's Park,"Out in Open, In Playground",X
2021,POINT (-73.78116617422221 40.596080978484245),Conch Playground,Near Ballfield,Q
2022,POINT (-74.01067034405904 40.630036987581946),Leif Ericson Park,Under Tree,B
2023,POINT (-73.98952641289044 40.69858729036102),Walt Whitman Park,Out in Open,B
2024,POINT (-73.89741589654075 40.84108925361597),Crotona Park,In Playground,X
2025,POINT (-73.76781915727652 40.772566214386714),Crocheron Park,Near Ballfield,Q
2026,POINT (-73.91911361065183 40.6851100757045),Saratoga Park,In Playground,B
2027,POINT (-73.98849168523519 40.74187520690421),Madison Square Park,"In Shade, Under Tree",M
2028,POINT (-73.82477507445515 40.796460500621066),Francis Lewis Park,"Under Tree, In Playground",Q
2029,POINT (-73.97347892924304 40.72313887849657),John V. Lindsay East River Park,Near Ballfield,M
2030,POINT (-73.8025434023481 40.6801906020713),Dr. Charles R. Drew Park,In Playground,Q
2031,POINT (-74.00296654455694 40.67976273462538),Dimattina Playground,Out in Open,B
2032,POINT (-73.89361350430616 40.65395567690513),Breukelen Ballfields,"Out in Open, In Playground",B
2033,POINT (-73.85687402338236 40.810173779128654),Harding Park,In Playground,X
2034,POINT (-73.83875571562426 40.74480380086003),Flushing Meadows Corona Park,Out in Open,Q
2035,POINT (-73.85727298306091 40.73541594484174),Real Good Park,In Playground,Q
2036,POINT (-74.163452201318 40.61989725472474),Jennifer's Playground,Under Tree,R
2037,POINT (-73.90804597946936 40.87772035416094),Marble Hill Playground,Out in Open,X
2038,POINT (-73.74637863758849 40.66105174471963),Brookville Park,Near Ballfield,Q
2039,POINT (-73.97613232325764 40.697613765398415),Oxport Playground,"Out in Open, Just Outside Playground",B
2040,POINT (-73.92453167438173 40.77532812858488),Astoria Park,In Playground,Q
2041,POINT (-73.89817721146704 40.81943832062075),Dawson Playground,In Playground,X
2042,POINT (-73.79237257239393 40.73082946270979),Utopia Playground,"Under Tree, In Playground",Q
2043,POINT (-73.83928027899518 40.67049371534378),Centreville Playground,Near Ballfield,Q
2044,POINT (-74.08383941848027 40.64821127100718),North Shore Esplanade,Out in Open,R
2045,POINT (-73.95383535090082 40.82568207926962),Riverside Park,In Playground,M
2046,POINT (-73.91196305809171 40.69597117831168),Bushwick Playground,"Out in Open, Just Outside Playground",B
2047,POINT (-73.92707279896702 40.83473484737953),Nelson Playground,Under Tree,X
2048,POINT (-73.9899146471847 40.692998192881696),Korean War Veterans Plaza,Out in Open,B
2049,POINT (-73.98402878980643 40.71905778593518),Nathan Straus Playground,"In Playground, Near Ballfield",M
2050,POINT (-73.78657644121047 40.676988006551156),Baisley Pond Park,In Shade,Q
2051,POINT (-73.89463248945107 40.67103136309912),Grace Playground,Near Ballfield,B
2052,POINT (-73.96837050942077 40.650335283457274),Parade Ground,"Under Tree, Near Ballfield",B
2053,POINT (-73.94659444606421 40.70659983666563),Sternberg Park,"Near Ballfield, Under Tree",B
2054,POINT (-73.84518541207781 40.744147712948646),Flushing Meadows Corona Park,Out in Open,Q
2055,POINT (-73.83668734459958 40.750346131049085),Flushing Meadows Corona Park,Out in Open,Q
2056,POINT (-73.77613683043597 40.74787438509475),Saul Weprin Playground,In Playground,Q
2057,POINT (-73.93544148145634 40.81875039624868),Col. Young Playground,Near Ballfield,M
2058,POINT (-73.9693825241852 40.651334696786044),Parade Ground,"Out in Open, Near Ballfield",B
2059,POINT (-73.89600044179065 40.90694105385552),Van Cortlandt Park,"Near Ballfield, Under Tree",X
2060,POINT (-73.99227638209375 40.77489174135478),Riverside Park South,Out in Open,M
2061,POINT (-73.92637477446459 40.821294852678),Franz Sigel Park,Out in Open,X
2062,POINT (-73.93603443005114 40.79354429108187),Thomas Jefferson Park,Just Outside Playground,M
2063,POINT (-73.87743505330918 40.720716539669986),Juniper Valley Park,Just Outside Playground,Q
2064,POINT (-73.97061303047045 40.690227230553866),Albert J. Parham Playground,Just Outside Playground,B
2065,POINT (-74.14570041210945 40.624411265017756),Markham Playground,Under Tree,R
2066,POINT (-73.97712036755014 40.77325238318572),Central Park,In Playground,M
2067,POINT (-73.91683028109115 40.69753714331316),Hope Ballfield,"Near Ballfield, Out in Open",B
2068,POINT (-73.92702834176995 40.666289447299405),Lincoln Terrace / Arthur S. Somers Park,Out in Open,B
2069,POINT (-73.9399850568513 40.57736698508717),Manhattan Beach Park,Out in Open,B
2070,POINT (-73.97861687348718 40.741959888005816),Vincent F. Albano Jr. Playground,Under Tree,M
2071,POINT (-73.97674849535774 40.79764398592773),Riverside Park,Out in Open,M
2072,POINT (-73.99212450229516 40.71104469847039),Allen Mall One,Out in Open,M
2073,POINT (-73.96149926843589 40.72206394809007),Bushwick Inlet Park,"Under Tree, In Shade, Near Ballfield",B
2074,POINT (-73.941259297452 40.76124994353202),Spirit Playground,In Playground,Q
2075,POINT (-74.01914632214599 40.6351717363603),Leif Ericson Park,Near Ballfield,B
2076,POINT (-73.99590306416103 40.7100568967774),Tanahey Playground,"In Playground, Under Tree",M
2077,POINT (-73.79138861512521 40.78856172167257),Little Bay Park,Near Ballfield,Q
2078,POINT (-73.94596416185522 40.68965453633783),Herbert Von King Park,"Under Tree, In Playground",B
2079,POINT (-73.89853230864944 40.86529712681359),St. James Park,Out in Open,X
2080,POINT (-73.98286366019317 40.69770364603665),Golconda Playground,"Out in Open, In Playground",B
2081,POINT (-73.73598359243552 40.762355061787986),Louis Pasteur Park,In Playground,Q
2082,POINT (-73.8657494332076 40.674614124771125),Robert E. Venable Park,Just Outside Playground,B
2083,POINT (-73.80355161355342 40.70329402547135),Rufus King Park,Out in Open,Q
2084,POINT (-74.19096429430871 40.51642762836975),Wolfe's Pond Park,Out in Open,R
2085,POINT (-73.89336967046003 40.63074083614631),Canarsie Park,"In Playground, Out in Open",B
